"code_rongeur","syphacia_stroma","heligmosomoides_polygyrus","hymenolepis_hiberna","syphacia_frederici","trichuris","hydatigera_parva","aspiculuris_tetraptera","skrjabinotaenia_lobata","numero_ligne","demogroup","sexe","gestation","SMI","poids","longueur_tete_corps","richesse_spe_AP","habitat1","habitat2","richesse","shannon","simpson"
"NCHA100290",0,0,0,0,0,0,0,0.693147180559945,24,"adult","F","oui",24.931186922851,25,90,1,"haie","C_HB",1,0,0
"NCHA100291",0,0,0,0,0,0,0,0,22,"subadult","M","non",17.5180037855577,16,87,1,"pins","CT_LB",0,NA,NA
"NCHA100292",4.20469261939097,1.09861228866811,0,0,0,0,0,0,21,"adult","F","non",21.3295681825032,16,81,1,"haie","NC_LB",2,0.510164341119951,0.328484972648848
"NCHA100293",0,1.38629436111989,0,0,0,0,0,0,21,"subadult","M","non",19.7184555418645,15.3,82,2,"haie","NC_LB",1,0,0
"NCHA100294",0,0,0,0,0,0,0,0,53,"adult","F","non",19.8163186531858,22.4,94,2,"feuillus","B",0,NA,NA
"NCHA100296",0,0,0,0,0,0,0,0,53,"adult","F","oui",22.9970565862761,24.5,92,0,"feuillus","B",0,NA,NA
"NCHA100298",3.73766961828337,0.693147180559945,0,0,0,0,0,0,47,"adult","M","non",26.0946193101419,27.8,92,3,"feuillus","B",2,0.433715425654203,0.263930013441425
"NCHA100299",4.11087386417331,0.693147180559945,0,0,0,0,0,0,52,"adult","M","non",20.7012269132961,21.4,91,0,"feuillus","B",2,0.412666023810756,0.246933382589309
"NCHA100304",0,0.693147180559945,0,0,0,0,0,0,20,"subadult","M","non",19.7785146119184,16.4,84,3,"haie","C_HB",1,0,0
"NCHA100308",4.89783979995091,1.38629436111989,0,0,0,0,0,0,52,"adult","F","non",19.8163186531858,22.4,94,0,"feuillus","B",2,0.527669198231965,0.343873834762145
"NCHA100309",1.79175946922805,1.38629436111989,0,0,0,0,0,0,52,"adult","M","non",22.7281231145502,22.1,89,2,"feuillus","B",2,0.684986266595172,0.491861310482046
"NCHA100311",2.56494935746154,1.09861228866811,0,0,0,0,0,0,50,"adult","F","non",20.2551918770511,18.5,87,3,"feuillus","B",2,0.610758755329439,0.419900348952787
"NCHA100312",0,1.38629436111989,0,0,0,0,0,0,50,"adult","M","non",20.9798059518925,20.4,89,1,"feuillus","B",1,0,0
"NCHA100313",0,1.6094379124341,0,0,0,0,0,0,52,"adult","F","non",22.0824401857107,25.7,95,1,"feuillus","B",1,0,0
"NCHA100314",0,0,0,0,0,0,0,0,29,"adult","M","non",20.1194748757808,17.8,86,1,"haie","NC_HB",0,NA,NA
"NCHA100316",0,1.09861228866811,0,0,0,0,0,0,35,"adult","F","non",20.7640976095152,12.6,75,0,"pins","CT_LB",1,0,0
"NCHA100317",0,0.693147180559945,0,2.484906649788,0,0,0,0,24,"subadult","F","non",19.9941549612957,14,79,3,"haie","C_HB",2,0.524498134667063,0.341069619606043
"NCHA100318",0,2.63905732961526,0,0,0,0,0,0,26,"adult","M","non",19.5404104508683,20.2,91,1,"pins","CT_HB",1,0,0
"NCHA100319",0,1.6094379124341,0,0,0,0,0,0,35,"adult","F","non",25.7492342746566,16.8,77,1,"pins","CT_LB",1,0,0
"NCHA100320",0,1.38629436111989,0,0,0,0,0,0,27,"adult","F","non",25.0542886474004,25.9,91,1,"haie","NC_HB",1,0,0
"NCHA100321",0,4.23410650459726,0,0.693147180559945,0,0,0,0,29,"adult","F","oui",21.6214722471699,25.9,96,2,"haie","NC_HB",2,0.406189034828499,0.241772771413203
"NCHA100322",6.45990445437753,1.09861228866811,0,0,0,0,0,0,31,"adult","F","non",21.9394444921088,22,90,0,"haie","NC_LB",2,0.414553418442367,0.248443354197234
"NCHA100323",0,3.80666248977032,0,6.10255859461357,0,0,0,1.09861228866811,29,"adult","F","oui",26.1208630990508,30.4,95,4,"haie","NC_HB",3,0.924235605851746,0.563111305805313
"NCHA100324",0,1.38629436111989,0,0,0,0,0,0,30,"adult","F","non",26.430441811943,25.7,89,2,"haie","C_HB",1,0,0
"NCHA100325",0,1.6094379124341,0,0.693147180559945,0,0,0,0,30,"subadult","M","non",22.8371184935943,14.9,77,2,"haie","C_HB",2,0.61173449089421,0.420821874749049
"NCHA100327",0,0,0,0,0,0,0,0,32,"subadult","F","non",23.1978669017935,14.6,76,1,"pins","CT_LB",0,NA,NA
"NCHA100328",0,1.09861228866811,0,2.484906649788,0,0,0,0,28,"adult","F","non",22.07077223542,14.4,77,0,"haie","C_LB",2,0.616331633359622,0.425172452767377
"NCHA100329",6.18414889093748,1.38629436111989,0,0,0,0,0,0,31,"adult","F","non",20.5543327142085,26.8,99,2,"haie","NC_LB",2,0.476090634163486,0.299173259357612
"NCHA100330",1.38629436111989,0,0,0,0,0,0,0,27,"adult","M","non",24.8878090213627,24.2,89,0,"haie","NC_HB",1,0,0
"NCHA100331",1.94591014905531,0,0,0,0,0,0,0,27,"adult","M","non",20.9663728607368,23.7,94,2,"haie","NC_HB",1,0,0
